Date,NEIXCTAT 
2011-11-11,2306.847
2011-11-14,2312.467
2011-11-15,2325.051
2011-11-16,2322.954
2011-11-17,2304.594
2011-11-18,2297.047
2011-11-21,2295.992
2011-11-22,2303.653
2011-11-23,2307.794
2011-11-24,2306.919
2011-11-25,2301.856
2011-11-28,2288.024
2011-11-29,2273.408
2011-11-30,2258.205
2011-12-01,2241.825
2011-12-02,2249.632
2011-12-05,2249.656
2011-12-06,2253.102
2011-12-07,2262.216
2011-12-08,2266.474
2011-12-09,2270.693
2011-12-12,2279.082
2011-12-13,2292.051
2011-12-14,2298.863
2011-12-15,2297.04
2011-12-16,2298.466
2011-12-19,2298.926
2011-12-20,2279.749
2011-12-21,2268.93
2011-12-22,2269.47
2011-12-23,2264.565
2011-12-26,2264.029
2011-12-27,2263.521
2011-12-28,2278.672
2011-12-29,2295.778
2011-12-30,2295.589
2012-01-02,2292.255
2012-01-03,2271.906
2012-01-04,2278.354
2012-01-05,2298.667
2012-01-06,2307.779
2012-01-09,2303.627
2012-01-10,2295.184
2012-01-11,2316.493
2012-01-12,2308.258
2012-01-13,2324.327
2012-01-16,2333.587
2012-01-17,2330.367
2012-01-18,2320.926
2012-01-19,2299.446
2012-01-20,2281.064
2012-01-23,2265.123
2012-01-24,2250.034
2012-01-25,2260.173
2012-01-26,2290.834
2012-01-27,2295.647
2012-01-30,2304.578
2012-01-31,2319.976
2012-02-01,2329.785
2012-02-02,2329.093
2012-02-03,2327.968
2012-02-06,2330.785
2012-02-07,2317.976
2012-02-08,2316.63
2012-02-09,2310.919
2012-02-10,2306.26
2012-02-13,2316.405
2012-02-14,2317.919
2012-02-15,2334.47
2012-02-16,2330.433
2012-02-17,2323.552
2012-02-20,2326.726
2012-02-21,2329.478
2012-02-22,2335.722
2012-02-23,2352.41
2012-02-24,2359.481
2012-02-27,2369.694
2012-02-28,2372.317
2012-02-29,2355.634
2012-03-01,2374.187
2012-03-02,2374.069
2012-03-05,2348.318
2012-03-06,2312.279
2012-03-07,2332.018
2012-03-08,2358.313
2012-03-09,2371.004
2012-03-12,2367.137
2012-03-13,2380.097
2012-03-14,2334.197
2012-03-15,2320.146
2012-03-16,2322.246
2012-03-19,2323.327
2012-03-20,2297.358
2012-03-21,2302.669
2012-03-22,2289.161
2012-03-23,2304.361
2012-03-26,2324.229
2012-03-27,2327.115
2012-03-28,2311.411
2012-03-29,2300.26
2012-03-30,2302.678
2012-04-02,2326.586
2012-04-03,2315.358
2012-04-04,2282.564
2012-04-05,2300.541
2012-04-06,2297.401
